Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps|Pop_Urban|GDP_Capita_City
Abidjan|Abidjan|Africa|75|Côte d'Ivoire|"5°20'28.0"" N"|"4°1'41.0"" W"|2|Tropical savanna climate|1|DJ|30.2|31.8|27.5|1937.6||4800000|0
Abu_Dhabi|Abu Dhabi|Middle East|14|United Arab Emirates|"24°28'0.1"" N"|"54°22'0.1"" E"|2|Hot desert climate|2|DK|34.5|42.9|24.1|57.1|49.2|1500000|5
Acapulco|Acapulco|North America|30|Mexico|"16°51'0.0"" N"|"99°55'0.1"" W"|2|Tropical savanna climate|3|DL|31.3|32.3|30.4|1336.8||1021000|1
Accra|Accra|Africa|103|Ghana|"5°32'60.0"" N"|"0°13'0.0"" W"|2|Tropical monsoon climate|4|DM|29.7|31|27|725||4145000|1
Ad_Dammam|Ad Dammam|Middle East|5|Saudi Arabia|"26°25'32.9"" N"|"50°6'51.1"" E"|2|Hot desert climate|5|DN|33.6|44|21|90.1|51|1019000|3
Ad_Diwaniyah|Ad Diwaniyah|Middle East|17|Iraq|"31°59'16.1"" N"|"44°55'32.2"" E"|2|Hot semi-arid climate|6|DO|30.4|43|15|120||650000|0
Adak,_Alaska|Adak, Alaska|North America|50|United States of America|"51°53'0"" N"|"176°38'42"" W"|3|Subarctic (cool summer, wet all year) climate|7|DP|7.1|13.2|2.8|1666.76||326|
Adamstown,_Pitcairn_Islands|Adamstown, Pitcairn Islands|Pacific|330|British Overseas Territory|"25°4'0"" S"|"130°6'0"" W"|3|Tropical monsoon climate|8|DQ|25.2|28|22|1699.2||48|
Adana|Adana|Europe|88|Turkey|"37°0'6.1"" N"|"35°19'44.0"" E"|2|Hot summer Mediterranean climate|9|DR|25.3|34.5|15.1|690.1|44|1830000|2
Addis_Abeba|Addis Abeba|Africa|2326|Ethiopia|"9°1'60.0"" N"|"38°42'0.0"" E"|2|Subtropical highland climate|10|DS|23|25|20|1165||3376000|0
Adelaide|Adelaide|Australia & New Zealand|72|Australia|"34°55'59.9"" S"|"138°35'60.0"" E"|2|Hot summer Mediterranean climate|11|DT|22.3|29.4|15.3|543.9|45.7|1140000|5
Aden|Aden|Middle East|126|Yemen|"12°46'45.8"" N"|"45°2'12.1"" E"|2|Hot desert climate|12|DU|32.6|37|28|40||760923|1
Adiyaman|Adiyaman|Middle East|646|Turkey|"37°45'33.1"" N"|"38°16'41.9"" E"|2|Continental Mediterranean climate|13|DV|22.9|37.7|8.5|707.3||217463|2
Agadir|Agadir|Africa|269|Morocco|"30°23'60.0"" N"|"9°35'60.0"" W"|2|Hot semi-arid climate|14|DW|23.4|26.4|20.4|291.9||615229|1
Agra|Agra|South Asia|171|India|"27°10'59.9"" N"|"78°1'0.1"" E"|2|Hot semi-arid climate|15|DX|32.6|41.6|22.3|724.8|48.6|1938000|0
Ahvaz|Ahvaz|Middle East|39|Iran|"31°19'45.1"" N"|"48°41'28.0"" E"|2|Hot desert climate|16|DY|33|46.3|17.5|209.2|54|1315000|2
Aidin|Aidin|Europe|242|Turkey|"37°50'39.8"" N"|"27°50'44.9"" E"|2|Hot summer Mediterranean climate|17|DZ|24.5|36.2|13.4|651||195951|3
Ajmer|Ajmer|South Asia|543|India|"26°26'60.0"" N"|"74°37'59.9"" E"|2|Hot desert climate|18|EA|31.6|39.7|22.9|529||542321|0
Akola|Akola|South Asia|282|India|"20°43'59.9"" N"|"77°0'0.0"" E"|2|Tropical savanna climate|19|EB|34.3|42.5|29.5|802.3|46.4|721849|0
Al_Basrah|Al Basrah|Middle East|11|Iraq|"30°29'39.1"" N"|"47°49'9.1"" E"|2|Hot desert climate|20|EC|31.2|41.8|17.7|152||2750000|0
Algiers|Algiers|Africa|1|Algeria|"36°45'47.2"" N"|"3°3'2.0"" E"|2|Hot summer Mediterranean climate|21|ED|23.8|32.3|16.7|517.9|47.5|3415811|1
Al_Kuwait|Al Kuwait|Middle East|12|Kuwait|"29°22'10.9"" N"|"47°58'41.9"" E"|2|Hot desert climate|22|EE|31.7|43.7|17.3|116.2|52.1|2380000|4
Albuquerque|Albuquerque|North America|1600|United States of America|"35°5'3.8"" N"|"106°39'3.6"" W"|2|Cold semi-arid climate|23|EF|20.4|32.3|7.8|240.1||1163964|4
Aleppo|Aleppo|Middle East|264|Syrian Arab Republic|"36°12'10.1"" N"|"37°9'31.0"" E"|2|Cold semi-arid climate|24|EG|23.8|36.2|10.3|328.8|47|3560000|1
Alert,_Nunavut|Alert, Nunavut|North America|30|Canada|"82°30'05"" N"|"62°20'20"" W"|3|Ice cap climate|25|EH|-14.4|6.1|-29.4|158.5|-50|5|
Alexandria|Alexandria|Africa|20|Egypt|"31°11'53.2"" N"|"29°55'9.1"" E"|2|Hot desert / hot semi-arid climate|26|EI|24.9|30.4|18.4|195.94|45|4689000|1
Algiers|Algiers|Africa|1|Algeria|"36°45'47.2"" N"|"3°3'2.0"" E"|2|Hot summer Mediterranean climate|27|EJ|23.8|32.3|16.7|517.9|47.5|2590000|2
Alice_Springs|Alice Springs|Australia & New Zealand|580|Australia|"23°42'0"" S"|"133°52'12"" E"|3|Hot desert climate|28|EK|28.7|36.4|19.7|285.5|49.2|28605|5
Aligarh|Aligarh|South Asia|182|India|"27°52'59.9"" N"|"78°4'59.9"" E"|2|Hot desert climate|29|EL|31.3|40.1|20.6|751.7|47.5|1020000|0
Allahabad|Allahabad|South Asia|74|India|"25°26'60.0"" N"|"81°50'60.0"" E"|2|Humid subtropical (dry winter, wet summer) climate|30|EM|32.6|41.6|23.2|978.5|48.8|1294000|1
Almaty|Almaty|Russia & Central Asia|852|Kazakhstan|"43°15'0.0"" N"|"76°57'0.0"" E"|2|Humid continental (hot summer, wet all year) climate|31|EN|15.8|30|0.7|684|43.4|1500000|3
Amman|Amman|Middle East|748|Jordan|"31°56'60.0"" N"|"35°55'59.9"" E"|2|Cold semi-arid climate|32|EO|23.5|32.4|12.3|269.3|44|2468000|2
Amravati|Amravati|South Asia|343|India|"20°55'59.9"" N"|"77°45'0.0"" E"|2|Tropical monsoon climate|33|EP|33.3|42|28|874||1031100|1
Amritsar|Amritsar|South Asia|221|India|"31°37'59.2"" N"|"74°51'56.2"" E"|2|Hot semi-arid climate|34|EQ|30.3|39.4|19.4|760|48.1|1264000|0
Amsterdam|Amsterdam|Europe|-2|Netherlands|"52°21'0.0"" N"|"4°55'0.0"" E"|1|Oceanic climate|35|ER|13.8|22.1|5.8|838.2||1624000|5
Amundsen–Scott_South_Pole_Station|Amundsen–Scott South Pole Station|Antarctica|2835|Antarctica|"90°00'00"" S"|"0°00'00"" E"|3|Ice cap climate|36|ES|-46.3|-25.9|-55.9|0|-82.8||
An_Najaf|An Najaf|Middle East|60|Iraq|"31°59'46.0"" N"|"44°18'52.9"" E"|2|Hot desert climate|37|ET|29.8|42|14|9.9||560000|1
Anchorage,_Alaska|Anchorage, Alaska|North America|31|United States of America|"61°13'0"" N"|"149°54'0"" W"|2|Subarctic (cool summer, wet all year) climate|38|EU|6.6|18.6|-5.2|421.1||396142|5
Ankara|Ankara|Europe|889|Turkey|"39°55'37.9"" N"|"32°51'51.8"" E"|2|Continental Mediterranean climate|39|EV|17.9|30.3|4.4|402|-31.2|4538000|3
